Question,A,B,C,D,Answer
Which of following statements is true?,An issue for non-cash consideration does not bring any new capital into the company,A share dividend brings new capital into the company,A share issue brings new capital into the company,A share dividend means that restricted equity is converted to non-restricted equity,C
Working capital is defined as,Current assets - non-current liabilities,Capital turnover rate - inventory turnover rate,Current assets - current liabilities,The company's average cost for capital,C
A share dividend means that,The company is supplied with new cash on hand (liquid assets),The company is supplied with new fixed assets,Non-restricted equity is converted to restricted equity,The company's interest-bearing libailities increase,C
The company sells an object to a financial institute and at the same time agrees to lease the object for a specific time period is called,Factoring,Leasing,Sale/leaseback,A company pays another company to perform various aspect of its operations,C
Turnover is another term for,Profitability,Liabilities,Sales,Profit/loss,C
Double-entry bookkeeping means that ...,the recording of transactions is done twice a day,the recording of transactions is done in two different books,the recording of transactions always has to be documented with at least one extra copy,at least one account is credited and at least one account is debited when transactions are recorded,D
"In accounting, an invoice is ... ",a liability ,a cost ,a payment,a voucher,D
Which of following items is an untaxed reserve?,Goodwill,Accumulated depreciation according to plan,Advance payments from customers,The tax allocation reserve,D
Which of following statements is true?,Double-entry bookkeeping means that the recording of transactions always has to be documented with at least one extra copy.,Double-entry bookkeeping means that the recording of transactions is done in two different books.,Double-entry bookkeeping means that the recording of transactions is done twice a day.,None of A-C,D
Which of following statements is true?,Double-entry bookkeeping means that the recording of transactions always has to be documented with at least one extra copy.,Double-entry bookkeeping means that the recording of transactions is done in two different books.,Double-entry bookkeeping means that the recording of transactions is done twice a day.,Double-entry bookkeeping means that transactions are recorded by crediting at least one account in the accounting plan and debiting at least one account,D
Which of the following statements is true?,A share dividend increases the companys cash on hand.,An issue for non-cash consideration increases the company’s cash on hand,A share dividend increases the company’s non-restricted equity.,None of A-C,D
A companys financial items consist of,Depreciations,Appropriations,Taxes,Interest rate cost,D
It is required by law (in Sweden) to file/retain accounting records for at least,10 years,5 years,20 years,7 years,D
Which of the following statements is true?,"In the current recording of transactions, the asset accounts are increased with credits, while the liability accounts are increased with debits.","The asset accounts belong to the income statement, while the income accounts belong to the balance sheet",Both liability accounts and expenditure accounts belong to the balance sheet,"In the current recording of transactions, the asset accounts are increased with debits, while a liability accounts are increased with credits.",D
Analysis of the company with du Pont schedules shows,That the company's efficiency is dependent of funding,The financial risk,The company's debt/equity ratio and equity ratio,How capital and cost structure affect the return on the total capital,D
Liquidity is the same as,Financial strength in the long term,Capital requirements,Gearing,Financial strength in the short term,D
"A company's financial items consist of, for example",Depreciations,Appropriations,Taxes,Interest rate costs,D
